date,year,month,day,air_temp_deg_C,precipitation_mm,windspeed,humidity,Rsolar,lat,long,alt
4/20/1957,1957,4,20,6.79227427,0.440797969,4.447808068,76.78808617,12.76689871,55.98915651,12.87383517,62
4/21/1957,1957,4,21,6.126326411,1.773302605,3.760437749,77.48399668,13.97776811,55.98915651,12.87383517,62
4/22/1957,1957,4,22,6.099181012,2.423366178,3.817380356,77.33206461,13.863563,55.98915651,12.87383517,62
4/23/1957,1957,4,23,7.53664514,1.703631287,5.322364135,72.63845579,14.14696457,55.98915651,12.87383517,62
4/24/1957,1957,4,24,7.194921843,0.665099744,6.203651386,68.88983405,15.2837331,55.98915651,12.87383517,62
4/25/1957,1957,4,25,5.332115859,0.838014352,5.638452666,67.88889783,15.229941,55.98915651,12.87383517,62
4/26/1957,1957,4,26,4.857868189,1.500220022,4.305430312,74.21330524,13.60683792,55.98915651,12.87383517,62
4/27/1957,1957,4,27,5.317561994,0.805282962,3.998842313,77.68847471,13.12013939,55.98915651,12.87383517,62
4/28/1957,1957,4,28,5.104177524,1.376147873,4.322485955,72.6381785,14.38056264,55.98915651,12.87383517,62
4/29/1957,1957,4,29,5.779016596,2.156322436,4.762318892,71.66126532,14.21359814,55.98915651,12.87383517,62
4/30/1957,1957,4,30,6.10149297,1.607328576,4.694568982,75.75106588,14.01983648,55.98915651,12.87383517,62
5/1/1957,1957,5,1,7.283570998,1.227434335,4.234980069,70.44754768,15.52024818,55.98915651,12.87383517,62
5/2/1957,1957,5,2,8.544366629,2.407201335,3.979586204,69.99349189,15.7476251,55.98915651,12.87383517,62
5/3/1957,1957,5,3,8.901019062,0.698545795,3.791252199,68.75263898,16.36824865,55.98915651,12.87383517,62
5/4/1957,1957,5,4,9.511731398,0.570683792,3.215704008,69.55493917,15.91467798,55.98915651,12.87383517,62
5/5/1957,1957,5,5,9.939801201,0.732895182,3.576493919,67.32808548,15.01812466,55.98915651,12.87383517,62
5/6/1957,1957,5,6,11.28673641,0.552604954,4.238215536,60.46517346,17.98123184,55.98915651,12.87383517,62
5/7/1957,1957,5,7,11.69718242,0.210882239,5.045279725,60.19295697,19.11725882,55.98915651,12.87383517,62
5/8/1957,1957,5,8,12.38572272,0.437366876,5.453627453,59.34422428,20.50163543,55.98915651,12.87383517,62
5/9/1957,1957,5,9,12.54947841,0.059931027,5.417824947,62.38890156,18.92000733,55.98915651,12.87383517,62
5/10/1957,1957,5,10,12.50604582,0.152051704,5.220397647,62.43316829,19.32987708,55.98915651,12.87383517,62
5/11/1957,1957,5,11,12.53074733,0.777638659,5.214003437,65.25037643,18.59524053,55.98915651,12.87383517,62
5/12/1957,1957,5,12,12.2353367,0.598099953,4.966785192,67.28343913,18.33071509,55.98915651,12.87383517,62
5/13/1957,1957,5,13,11.63308457,0.985223584,4.726586579,71.05253997,16.75622506,55.98915651,12.87383517,62
5/14/1957,1957,5,14,11.5184286,1.677512616,4.411264398,70.16086624,15.75365154,55.98915651,12.87383517,62
5/15/1957,1957,5,15,11.1897304,0.876781351,4.505274804,69.01188883,16.74485718,55.98915651,12.87383517,62
5/16/1957,1957,5,16,10.83365527,0.180519238,3.564222223,69.2006447,17.25237801,55.98915651,12.87383517,62
5/17/1957,1957,5,17,11.12211563,0.354259199,3.379907847,68.18370311,18.44014934,55.98915651,12.87383517,62
5/18/1957,1957,5,18,11.19352368,0.773720185,3.89891267,74.27647915,17.81320078,55.98915651,12.87383517,62
5/19/1957,1957,5,19,10.87083097,1.111232168,3.685599181,77.89171953,15.72274953,55.98915651,12.87383517,62
5/20/1957,1957,5,20,10.57387078,2.529526592,4.378826125,76.86996106,15.45314289,55.98915651,12.87383517,62
5/21/1957,1957,5,21,10.97834047,2.229195568,4.736831711,78.64931716,14.03120925,55.98915651,12.87383517,62
5/22/1957,1957,5,22,10.50808076,2.473083649,4.767821802,83.08491776,13.34832943,55.98915651,12.87383517,62
5/23/1957,1957,5,23,10.3153862,0.984307357,4.859289515,76.78217301,16.20168798,55.98915651,12.87383517,62
5/24/1957,1957,5,24,10.69614482,1.262155299,4.220439157,74.16914233,17.00604558,55.98915651,12.87383517,62
5/25/1957,1957,5,25,10.75431606,1.84171396,3.977019568,78.01876518,14.76428706,55.98915651,12.87383517,62
5/26/1957,1957,5,26,10.86331554,2.155503451,3.874237077,83.62243468,12.50849218,55.98915651,12.87383517,62
5/27/1957,1957,5,27,11.28136523,2.813825623,4.178769337,84.94456342,14.48561949,55.98915651,12.87383517,62
5/28/1957,1957,5,28,12.45441458,3.03277453,4.086296226,82.31645234,16.17766818,55.98915651,12.87383517,62
5/29/1957,1957,5,29,13.0613969,1.80788611,3.860188945,80.84218891,15.85194679,55.98915651,12.87383517,62
5/30/1957,1957,5,30,12.62131072,1.280399253,3.893128637,82.10094093,14.37821918,55.98915651,12.87383517,62
5/31/1957,1957,5,31,12.92657353,1.194149725,4.114125292,77.28540608,15.21054399,55.98915651,12.87383517,62
6/1/1957,1957,6,1,13.36780681,1.618793216,4.083752209,75.48839994,14.91573184,55.98915651,12.87383517,62
6/2/1957,1957,6,2,13.66311703,2.370002707,3.76469892,75.25375864,16.28724617,55.98915651,12.87383517,62
6/3/1957,1957,6,3,13.63719366,1.397979378,3.458777964,72.28457144,19.51621982,55.98915651,12.87383517,62
6/4/1957,1957,6,4,14.07459831,0.615976216,3.659275532,71.71011688,20.18530813,55.98915651,12.87383517,62
6/5/1957,1957,6,5,15.07020861,0.941554261,3.824357739,68.91737914,19.18664027,55.98915651,12.87383517,62
6/6/1957,1957,6,6,16.42513841,0.13484301,3.88958577,67.09595204,21.42769655,55.98915651,12.87383517,62
6/7/1957,1957,6,7,16.98981686,0.264326211,3.471760922,70.01038909,22.77541975,55.98915651,12.87383517,62
6/8/1957,1957,6,8,16.28778399,0.873378599,3.622588268,73.51785876,22.03561034,55.98915651,12.87383517,62
6/9/1957,1957,6,9,15.52441925,1.444670703,3.488867572,74.22709637,19.43052753,55.98915651,12.87383517,62
6/10/1957,1957,6,10,15.35466358,0.933091674,3.471271929,72.04971294,17.48913674,55.98915651,12.87383517,62
6/11/1957,1957,6,11,14.97988573,1.93033359,4.388102274,71.84806419,16.4125586,55.98915651,12.87383517,62
6/12/1957,1957,6,12,13.84630002,1.707190271,4.439259269,73.41113464,16.53561409,55.98915651,12.87383517,62
6/13/1957,1957,6,13,14.00050181,2.170003781,4.762328965,73.7922178,16.2506643,55.98915651,12.87383517,62
6/14/1957,1957,6,14,14.39972605,1.313979238,5.63728533,71.17810186,18.12276216,55.98915651,12.87383517,62
6/15/1957,1957,6,15,13.38578801,2.63758537,4.572510168,71.03917079,18.28750105,55.98915651,12.87383517,62
6/16/1957,1957,6,16,13.17136337,1.874258134,4.03473771,69.99233881,19.21505431,55.98915651,12.87383517,62
6/17/1957,1957,6,17,13.67764819,1.549570337,3.631277816,69.22871334,19.95434938,55.98915651,12.87383517,62
6/18/1957,1957,6,18,14.38145882,2.483263588,3.472359958,70.81358422,20.33689513,55.98915651,12.87383517,62
6/19/1957,1957,6,19,15.01307543,1.540659856,3.036705718,69.84637213,21.74128507,55.98915651,12.87383517,62
6/20/1957,1957,6,20,15.13735313,1.264708639,2.610613724,71.44100155,21.44598241,55.98915651,12.87383517,62
6/21/1957,1957,6,21,15.23853157,1.223840898,2.718446674,72.3699484,21.96856358,55.98915651,12.87383517,62
6/22/1957,1957,6,22,15.52293961,2.016212335,3.003453582,75.59588567,20.35305045,55.98915651,12.87383517,62
6/23/1957,1957,6,23,15.86901124,1.825582421,3.490272175,74.57514004,20.35693766,55.98915651,12.87383517,62
6/24/1957,1957,6,24,15.42137768,0.654475624,3.575922621,71.15194621,18.85333403,55.98915651,12.87383517,62
6/25/1957,1957,6,25,15.71636353,1.043209035,3.430037605,72.16259555,18.06275755,55.98915651,12.87383517,62
6/26/1957,1957,6,26,16.49309167,0.890610892,3.420038496,71.0654382,18.52905247,55.98915651,12.87383517,62
6/27/1957,1957,6,27,16.79982187,2.654447658,3.362141589,71.41789292,19.20548137,55.98915651,12.87383517,62
6/28/1957,1957,6,28,17.02211123,2.635082752,3.351017352,71.12518058,18.75792056,55.98915651,12.87383517,62
6/29/1957,1957,6,29,16.53128798,4.851870531,3.284052167,77.33747422,15.66555515,55.98915651,12.87383517,62
6/30/1957,1957,6,30,15.95921816,3.478870043,3.559998206,81.66267727,14.7509547,55.98915651,12.87383517,62
7/1/1957,1957,7,1,16.35559657,1.736842225,4.108156006,77.81132168,17.97424266,55.98915651,12.87383517,62
7/2/1957,1957,7,2,16.46288274,4.02691163,3.611121793,77.64991563,18.77782555,55.98915651,12.87383517,62
7/3/1957,1957,7,3,16.4129191,3.611844385,3.194223066,75.07628084,18.12645241,55.98915651,12.87383517,62
7/4/1957,1957,7,4,16.33252001,1.859587079,3.055517965,73.39991831,18.20304999,55.98915651,12.87383517,62
7/5/1957,1957,7,5,16.67272683,1.139283718,3.641536171,72.24093405,18.63208331,55.98915651,12.87383517,62
7/6/1957,1957,7,6,17.21855008,1.119821665,3.547681817,72.41821079,19.14516577,55.98915651,12.87383517,62
7/7/1957,1957,7,7,17.98709823,0.838446005,3.237358415,74.78860355,20.46980285,55.98915651,12.87383517,62
7/8/1957,1957,7,8,18.63718573,1.042589706,2.983036864,76.90898463,21.05110365,55.98915651,12.87383517,62
7/9/1957,1957,7,9,18.65135816,3.282338656,3.288705189,75.88738097,20.25233975,55.98915651,12.87383517,62
7/10/1957,1957,7,10,17.74123261,2.867622647,4.229286403,73.48945166,17.93064765,55.98915651,12.87383517,62
7/11/1957,1957,7,11,16.62629402,2.811181755,5.010227581,75.81799198,15.85887322,55.98915651,12.87383517,62
7/12/1957,1957,7,12,16.04603579,2.673951993,5.48016279,75.56407872,15.12288805,55.98915651,12.87383517,62
7/13/1957,1957,7,13,16.25614088,2.35410053,5.664115183,74.75047289,15.10066797,55.98915651,12.87383517,62
7/14/1957,1957,7,14,15.86969483,3.461974357,5.61646566,76.85873236,14.28397434,55.98915651,12.87383517,62
7/15/1957,1957,7,15,15.33274166,5.962074314,4.643992013,81.22960649,13.16644625,55.98915651,12.87383517,62
7/16/1957,1957,7,16,15.4832354,4.711284778,5.005178403,78.13143352,15.79226855,55.98915651,12.87383517,62
7/17/1957,1957,7,17,15.85461504,2.572133713,4.773461567,75.37051887,15.89730243,55.98915651,12.87383517,62
7/18/1957,1957,7,18,16.19928182,1.116438853,3.508910222,75.92972344,15.82682032,55.98915651,12.87383517,62
7/19/1957,1957,7,19,16.39469649,1.49233231,3.370330184,76.10694789,16.90363006,55.98915651,12.87383517,62
7/20/1957,1957,7,20,16.24308836,4.06257704,3.706085185,76.3124108,16.9574546,55.98915651,12.87383517,62
7/21/1957,1957,7,21,16.05676081,6.570648665,3.900796037,76.96651079,16.41244151,55.98915651,12.87383517,62
7/22/1957,1957,7,22,15.98505861,3.779441024,4.785103877,76.03359083,16.02549305,55.98915651,12.87383517,62
7/23/1957,1957,7,23,16.42167485,1.11015756,4.37706532,75.78520246,15.75477459,55.98915651,12.87383517,62
7/24/1957,1957,7,24,16.92935648,2.813769623,3.753625207,76.02314402,14.51759208,55.98915651,12.87383517,62
7/25/1957,1957,7,25,17.36113413,4.477422537,2.950518922,78.55583764,13.28423317,55.98915651,12.87383517,62
7/26/1957,1957,7,26,16.95962656,3.228178184,2.808369202,82.29127355,13.34077126,55.98915651,12.87383517,62
7/27/1957,1957,7,27,16.48995236,2.466350118,3.372628899,80.96569174,13.53766304,55.98915651,12.87383517,62
7/28/1957,1957,7,28,16.5107218,3.228148998,3.986716405,82.55585052,13.71668132,55.98915651,12.87383517,62
7/29/1957,1957,7,29,17.3217912,2.952545419,3.577567655,82.87785103,14.82516693,55.98915651,12.87383517,62
7/30/1957,1957,7,30,17.38688926,1.707878578,2.971409887,81.78182782,15.35004017,55.98915651,12.87383517,62
7/31/1957,1957,7,31,17.69350666,1.021027963,3.231001836,77.80592442,17.52445992,55.98915651,12.87383517,62
8/1/1957,1957,8,1,17.45592756,1.249012988,3.273543659,76.5069833,17.86561755,55.98915651,12.87383517,62
8/2/1957,1957,8,2,17.67564443,4.710783327,2.288675063,78.71837086,16.8887255,55.98915651,12.87383517,62
8/3/1957,1957,8,3,18.01676316,1.660332359,2.088575953,76.70343593,16.99203553,55.98915651,12.87383517,62
8/4/1957,1957,8,4,17.73105461,1.748788846,3.018288328,76.19426916,15.71928127,55.98915651,12.87383517,62
8/5/1957,1957,8,5,17.01722573,1.84052703,3.639910642,76.84589854,14.03209535,55.98915651,12.87383517,62
8/6/1957,1957,8,6,17.32724573,2.182326196,3.485987276,80.82619672,13.5290857,55.98915651,12.87383517,62
8/7/1957,1957,8,7,17.78589234,2.661501308,3.775905814,78.99997836,15.41871167,55.98915651,12.87383517,62
8/8/1957,1957,8,8,17.33943749,1.846042073,4.591158819,77.04346912,15.49763256,55.98915651,12.87383517,62
8/9/1957,1957,8,9,16.74594668,3.064703894,4.82278044,77.08921703,14.47864244,55.98915651,12.87383517,62
8/10/1957,1957,8,10,16.55136758,6.103941076,4.233499129,78.36971836,12.50399261,55.98915651,12.87383517,62
8/11/1957,1957,8,11,16.2121025,5.06926761,4.088367813,79.09838126,12.27968833,55.98915651,12.87383517,62
8/12/1957,1957,8,12,15.42180817,6.542790488,4.550096374,79.35597913,13.70401524,55.98915651,12.87383517,62
8/13/1957,1957,8,13,15.38476106,1.843082329,3.815288061,76.73025452,15.86090265,55.98915651,12.87383517,62
8/14/1957,1957,8,14,15.88214427,0.856951749,2.830066615,74.20768931,15.66518116,55.98915651,12.87383517,62
8/15/1957,1957,8,15,16.56506983,1.021923581,3.317535922,75.47169518,14.69016182,55.98915651,12.87383517,62
8/16/1957,1957,8,16,16.47963473,1.807168829,4.025244573,74.92929238,14.45023522,55.98915651,12.87383517,62
8/17/1957,1957,8,17,16.32313751,5.239759753,3.465739294,76.59134012,13.72248151,55.98915651,12.87383517,62
8/18/1957,1957,8,18,15.84288947,6.618416855,3.016309546,78.42137782,13.18162249,55.98915651,12.87383517,62
8/19/1957,1957,8,19,15.30280097,1.162573609,2.875954332,76.00939225,14.85851136,55.98915651,12.87383517,62
8/20/1957,1957,8,20,16.10208252,1.032954893,3.308731142,73.78149976,15.58784799,55.98915651,12.87383517,62
8/21/1957,1957,8,21,16.80063926,0.61847344,4.506653387,72.87407327,14.46329259,55.98915651,12.87383517,62
8/22/1957,1957,8,22,16.42323741,0.234291928,4.892333992,70.07457005,16.24740762,55.98915651,12.87383517,62
8/23/1957,1957,8,23,15.84731305,0.237022568,3.95272891,69.13590879,17.23081885,55.98915651,12.87383517,62
8/24/1957,1957,8,24,15.25549165,0.528143311,3.426158157,72.53157396,16.77791463,55.98915651,12.87383517,62
8/25/1957,1957,8,25,15.16950838,0.123583254,3.751521677,73.66977594,15.91775215,55.98915651,12.87383517,62
